2026-07-15 10:44:03.692 | INFO     | app.services.llm_adapter:chat_completion:63 - Model: deepseek-r1 | Latency: 6.76s | PromptTokens: 131 | CompletionTokens: 163
2026-07-17 10:35:25 | INFO     | trace_id=1d4e4bb6-8b35-46c6-8049-f72ab32f678d - Model: deepseek-r1 | Latency: 29.20s | PromptTokens: 185 | CompletionTokens: 1017
2026-07-17 10:35:38 | INFO     | trace_id=1d4e4bb6-8b35-46c6-8049-f72ab32f678d - Model: deepseek-r1 | Latency: 12.95s | PromptTokens: 125 | CompletionTokens: 337
2026-07-17 10:35:48 | INFO     | trace_id=1d4e4bb6-8b35-46c6-8049-f72ab32f678d - Model: deepseek-r1 | Latency: 10.16s | PromptTokens: 423 | CompletionTokens: 236
2026-07-17 10:36:48 | INFO     | trace_id=23f53aca-d94f-4901-94e6-b75a3d13af52 - Model: deepseek-r1 | Latency: 19.47s | PromptTokens: 185 | CompletionTokens: 520
2026-07-17 10:37:05 | INFO     | trace_id=23f53aca-d94f-4901-94e6-b75a3d13af52 - Model: deepseek-r1 | Latency: 17.18s | PromptTokens: 125 | CompletionTokens: 416
2026-07-17 10:37:22 | INFO     | trace_id=23f53aca-d94f-4901-94e6-b75a3d13af52 - Model: deepseek-r1 | Latency: 16.37s | PromptTokens: 445 | CompletionTokens: 311
2026-07-17 10:38:15 | INFO     | trace_id=a56e2809-6b1b-4db6-9c4f-5cdb6f7c085b - Model: deepseek-r1 | Latency: 20.99s | PromptTokens: 125 | CompletionTokens: 556
2026-07-17 10:38:22 | INFO     | trace_id=a56e2809-6b1b-4db6-9c4f-5cdb6f7c085b - Model: deepseek-r1 | Latency: 7.35s | PromptTokens: 492 | CompletionTokens: 173
2026-07-17 10:39:18 | INFO     | trace_id=bef31fdb-14b9-46e6-9233-016daf1aa7c6 - Model: deepseek-r1 | Latency: 14.85s | PromptTokens: 125 | CompletionTokens: 357
2026-07-17 10:39:29 | INFO     | trace_id=bef31fdb-14b9-46e6-9233-016daf1aa7c6 - Model: deepseek-r1 | Latency: 11.18s | PromptTokens: 470 | CompletionTokens: 305
2026-07-17 10:40:26 | INFO     | trace_id=5900fa8d-ffdd-4441-a97f-5d76076bd629 - Model: deepseek-r1 | Latency: 14.49s | PromptTokens: 125 | CompletionTokens: 391
2026-07-17 10:40:32 | INFO     | trace_id=5900fa8d-ffdd-4441-a97f-5d76076bd629 - Model: deepseek-r1 | Latency: 6.31s | PromptTokens: 488 | CompletionTokens: 152
2026-07-17 10:41:03 | INFO     | trace_id=f1372dff-85fb-44c5-a111-64b1a124cbb4 - Model: deepseek-r1 | Latency: 13.76s | PromptTokens: 125 | CompletionTokens: 351
2026-07-17 10:41:12 | INFO     | trace_id=f1372dff-85fb-44c5-a111-64b1a124cbb4 - Model: deepseek-r1 | Latency: 9.20s | PromptTokens: 488 | CompletionTokens: 212
2026-07-17 10:48:00 | INFO     | trace_id=2153254b-cf8c-4bf2-9ac4-b02c009722a9 - Model: deepseek-r1 | Latency: 24.04s | PromptTokens: 185 | CompletionTokens: 642
2026-07-17 10:48:27 | INFO     | trace_id=2153254b-cf8c-4bf2-9ac4-b02c009722a9 - Model: deepseek-r1 | Latency: 27.23s | PromptTokens: 125 | CompletionTokens: 952
2026-07-17 10:48:33 | INFO     | trace_id=2153254b-cf8c-4bf2-9ac4-b02c009722a9 - Model: deepseek-r1 | Latency: 5.88s | PromptTokens: 407 | CompletionTokens: 158
2026-07-17 10:49:12 | INFO     | trace_id=542b1186-49ce-4510-9249-5d31ad1cce0f - Model: deepseek-r1 | Latency: 12.31s | PromptTokens: 125 | CompletionTokens: 331
2026-07-17 10:49:19 | INFO     | trace_id=542b1186-49ce-4510-9249-5d31ad1cce0f - Model: deepseek-r1 | Latency: 7.14s | PromptTokens: 610 | CompletionTokens: 167
2026-07-17 10:51:18 | INFO     | trace_id=1df4353b-ddf6-477a-9ff2-95704cb01611 - Model: deepseek-r1 | Latency: 44.64s | PromptTokens: 185 | CompletionTokens: 1532
2026-07-17 10:51:32 | INFO     | trace_id=1df4353b-ddf6-477a-9ff2-95704cb01611 - Model: deepseek-r1 | Latency: 13.63s | PromptTokens: 125 | CompletionTokens: 367
2026-07-17 10:51:38 | INFO     | trace_id=1df4353b-ddf6-477a-9ff2-95704cb01611 - Model: deepseek-r1 | Latency: 6.79s | PromptTokens: 469 | CompletionTokens: 151
2026-07-17 10:52:18 | INFO     | trace_id=N/A - Model: deepseek-r1 | Latency: 21.58s | PromptTokens: 185 | CompletionTokens: 586
2026-07-17 10:53:31 | INFO     | trace_id=f959de38-c8bb-4d2b-9878-1bca6e3b72b1 - Model: deepseek-r1 | Latency: 20.24s | PromptTokens: 125 | CompletionTokens: 523
2026-07-17 10:53:43 | INFO     | trace_id=f959de38-c8bb-4d2b-9878-1bca6e3b72b1 - Model: deepseek-r1 | Latency: 11.92s | PromptTokens: 674 | CompletionTokens: 276
2026-07-17 11:01:34 | INFO     | trace_id=f96eaddf-18df-48b4-9a0f-3d0ff69bd00c - Model: deepseek-r1 | Latency: 32.47s | PromptTokens: 4658 | CompletionTokens: 1093
2026-07-17 11:01:56 | INFO     | trace_id=f96eaddf-18df-48b4-9a0f-3d0ff69bd00c - Model: deepseek-r1 | Latency: 22.23s | PromptTokens: 656 | CompletionTokens: 652
2026-07-17 11:02:08 | INFO     | trace_id=f96eaddf-18df-48b4-9a0f-3d0ff69bd00c - Model: deepseek-r1 | Latency: 11.84s | PromptTokens: 125 | CompletionTokens: 350
2026-07-17 11:02:35 | INFO     | trace_id=ea3ee856-65da-4a5c-a35e-2628cd1a44b1 - Model: deepseek-r1 | Latency: 26.12s | PromptTokens: 623 | CompletionTokens: 720
2026-07-17 11:02:39 | INFO     | trace_id=f96eaddf-18df-48b4-9a0f-3d0ff69bd00c - Model: deepseek-r1 | Latency: 4.63s | PromptTokens: 476 | CompletionTokens: 127
2026-07-17 11:02:48 | INFO     | trace_id=ea3ee856-65da-4a5c-a35e-2628cd1a44b1 - Model: deepseek-r1 | Latency: 8.95s | PromptTokens: 126 | CompletionTokens: 319
2026-07-17 11:02:53 | INFO     | trace_id=ea3ee856-65da-4a5c-a35e-2628cd1a44b1 - Model: deepseek-r1 | Latency: 4.41s | PromptTokens: 471 | CompletionTokens: 124
2026-07-17 11:21:13 | INFO     | trace_id=6000568d-66b6-48be-abec-131057a58930 - Model: deepseek-r1 | Latency: 84.21s | PromptTokens: 4658 | CompletionTokens: 2383
2026-07-17 11:21:40 | INFO     | trace_id=6000568d-66b6-48be-abec-131057a58930 - Model: deepseek-r1 | Latency: 27.03s | PromptTokens: 584 | CompletionTokens: 735
2026-07-17 11:22:14 | INFO     | trace_id=6000568d-66b6-48be-abec-131057a58930 - Model: deepseek-r1 | Latency: 33.86s | PromptTokens: 125 | CompletionTokens: 993
2026-07-17 11:34:44 | INFO     | trace_id=prewarm - Model: deepseek-r1 | Latency: 173.38s | PromptTokens: 4658 | CompletionTokens: 4715
2026-07-17 11:37:05 | INFO     | trace_id=8d78e3b6-4305-4687-aedf-962c099ba748 - Model: deepseek-r1 | Latency: 30.20s | PromptTokens: 640 | CompletionTokens: 826
2026-07-17 11:37:17 | INFO     | trace_id=8d78e3b6-4305-4687-aedf-962c099ba748 - Model: deepseek-r1 | Latency: 12.44s | PromptTokens: 126 | CompletionTokens: 330
2026-07-17 12:05:48 | INFO     | trace_id=prewarm - Model: deepseek-r1 | Latency: 204.47s | PromptTokens: 4658 | CompletionTokens: 3934
2026-07-17 12:12:59 | INFO     | trace_id=prewarm - Model: deepseek-r1 | Latency: 106.25s | PromptTokens: 4658 | CompletionTokens: 3882
2026-07-17 12:37:53 | INFO     | trace_id=prewarm - Model: deepseek-r1 | Latency: 143.01s | PromptTokens: 4658 | CompletionTokens: 4463
2026-07-17 12:38:33 | INFO     | trace_id=83d861d7-4c8e-44bf-861d-f6830771d1a9 - Model: deepseek-r1 | Latency: 14.02s | PromptTokens: 604 | CompletionTokens: 474
2026-07-17 12:38:45 | INFO     | trace_id=83d861d7-4c8e-44bf-861d-f6830771d1a9 - Model: deepseek-r1 | Latency: 11.27s | PromptTokens: 125 | CompletionTokens: 335
2026-07-17 12:38:49 | INFO     | trace_id=83d861d7-4c8e-44bf-861d-f6830771d1a9 - Model: deepseek-r1 | Latency: 4.38s | PromptTokens: 498 | CompletionTokens: 120
2026-07-17 12:42:22 | INFO     | trace_id=e809590b-78ab-4158-9659-581cb0cc368e - Model: deepseek-r1 | Latency: 19.26s | PromptTokens: 639 | CompletionTokens: 588
2026-07-17 12:42:36 | INFO     | trace_id=e809590b-78ab-4158-9659-581cb0cc368e - Model: deepseek-r1 | Latency: 14.71s | PromptTokens: 125 | CompletionTokens: 408
2026-07-17 12:42:40 | INFO     | trace_id=e809590b-78ab-4158-9659-581cb0cc368e - Model: deepseek-r1 | Latency: 3.67s | PromptTokens: 407 | CompletionTokens: 83
2026-07-17 12:43:06 | INFO     | trace_id=a7fd9f25-ff30-4490-bb32-76e814cb361f - Model: deepseek-r1 | Latency: 10.78s | PromptTokens: 125 | CompletionTokens: 375
2026-07-17 12:43:11 | INFO     | trace_id=a7fd9f25-ff30-4490-bb32-76e814cb361f - Model: deepseek-r1 | Latency: 4.67s | PromptTokens: 586 | CompletionTokens: 140
2026-07-17 12:43:36 | INFO     | trace_id=a3c77836-e052-4b38-ba75-c4a7db46b621 - Model: deepseek-r1 | Latency: 11.36s | PromptTokens: 125 | CompletionTokens: 376
2026-07-17 12:43:41 | INFO     | trace_id=a3c77836-e052-4b38-ba75-c4a7db46b621 - Model: deepseek-r1 | Latency: 4.86s | PromptTokens: 588 | CompletionTokens: 134
2026-07-17 12:44:09 | INFO     | trace_id=7b0ad9b0-f968-43f4-a703-94211e10d352 - Model: deepseek-r1 | Latency: 9.81s | PromptTokens: 125 | CompletionTokens: 333
2026-07-17 12:44:17 | INFO     | trace_id=7b0ad9b0-f968-43f4-a703-94211e10d352 - Model: deepseek-r1 | Latency: 7.27s | PromptTokens: 685 | CompletionTokens: 190
2026-07-17 12:44:55 | INFO     | trace_id=a532e940-f79b-4c29-96ee-d18c9f738f0b - Model: deepseek-r1 | Latency: 12.67s | PromptTokens: 125 | CompletionTokens: 335
2026-07-17 12:45:08 | INFO     | trace_id=a532e940-f79b-4c29-96ee-d18c9f738f0b - Model: deepseek-r1 | Latency: 12.42s | PromptTokens: 638 | CompletionTokens: 301
2026-07-17 12:45:52 | INFO     | trace_id=08f3319f-e1c6-4bd8-9cf8-1f3946a8ec53 - Model: deepseek-r1 | Latency: 18.89s | PromptTokens: 125 | CompletionTokens: 753
2026-07-17 12:45:58 | INFO     | trace_id=08f3319f-e1c6-4bd8-9cf8-1f3946a8ec53 - Model: deepseek-r1 | Latency: 6.22s | PromptTokens: 588 | CompletionTokens: 190
2026-07-17 12:46:28 | INFO     | trace_id=983e9f65-a7da-41ab-adbf-3c06bdae1de1 - Model: deepseek-r1 | Latency: 9.97s | PromptTokens: 125 | CompletionTokens: 371
2026-07-17 12:46:35 | INFO     | trace_id=983e9f65-a7da-41ab-adbf-3c06bdae1de1 - Model: deepseek-r1 | Latency: 6.70s | PromptTokens: 591 | CompletionTokens: 203
2026-07-17 12:47:05 | INFO     | trace_id=d5eb83e9-e379-4838-ad06-b781b54b4c44 - Model: deepseek-r1 | Latency: 9.51s | PromptTokens: 125 | CompletionTokens: 266
2026-07-17 12:47:11 | INFO     | trace_id=d5eb83e9-e379-4838-ad06-b781b54b4c44 - Model: deepseek-r1 | Latency: 5.69s | PromptTokens: 594 | CompletionTokens: 155
2026-07-17 12:47:38 | INFO     | trace_id=00e9eda8-19d7-4eb3-88ae-42994f1a5592 - Model: deepseek-r1 | Latency: 8.82s | PromptTokens: 125 | CompletionTokens: 330
2026-07-17 12:47:44 | INFO     | trace_id=00e9eda8-19d7-4eb3-88ae-42994f1a5592 - Model: deepseek-r1 | Latency: 6.00s | PromptTokens: 589 | CompletionTokens: 159
2026-07-17 12:48:11 | INFO     | trace_id=fddc66a6-d9d3-46a8-a909-2ba478902b4b - Model: deepseek-r1 | Latency: 10.40s | PromptTokens: 125 | CompletionTokens: 339
2026-07-17 12:48:21 | INFO     | trace_id=fddc66a6-d9d3-46a8-a909-2ba478902b4b - Model: deepseek-r1 | Latency: 9.43s | PromptTokens: 591 | CompletionTokens: 286
2026-07-17 12:48:44 | INFO     | trace_id=9580fc8e-8047-4f60-b8f4-eca127d57af8 - Model: deepseek-r1 | Latency: 11.89s | PromptTokens: 125 | CompletionTokens: 354
2026-07-17 12:48:50 | INFO     | trace_id=9580fc8e-8047-4f60-b8f4-eca127d57af8 - Model: deepseek-r1 | Latency: 6.11s | PromptTokens: 589 | CompletionTokens: 176
2026-07-17 12:49:15 | INFO     | trace_id=4b946510-ee13-404a-99c9-fe9c6c412650 - Model: deepseek-r1 | Latency: 9.68s | PromptTokens: 125 | CompletionTokens: 304
2026-07-17 12:49:19 | INFO     | trace_id=4b946510-ee13-404a-99c9-fe9c6c412650 - Model: deepseek-r1 | Latency: 3.51s | PromptTokens: 589 | CompletionTokens: 97
2026-07-17 12:50:10 | INFO     | trace_id=b6b6a31f-d794-491e-9daa-95b5be88ab81 - Model: deepseek-r1 | Latency: 7.50s | PromptTokens: 125 | CompletionTokens: 205
2026-07-17 12:50:17 | INFO     | trace_id=b6b6a31f-d794-491e-9daa-95b5be88ab81 - Model: deepseek-r1 | Latency: 6.90s | PromptTokens: 610 | CompletionTokens: 184
2026-07-17 12:51:04 | INFO     | trace_id=3e9c8449-5db2-4459-a30d-be52dbe283ab - Model: deepseek-r1 | Latency: 26.97s | PromptTokens: 125 | CompletionTokens: 1133
2026-07-17 12:51:10 | INFO     | trace_id=3e9c8449-5db2-4459-a30d-be52dbe283ab - Model: deepseek-r1 | Latency: 5.81s | PromptTokens: 591 | CompletionTokens: 182
2026-07-17 12:51:45 | INFO     | trace_id=b0beb528-11e4-4676-a987-5bc958675408 - Model: deepseek-r1 | Latency: 9.65s | PromptTokens: 125 | CompletionTokens: 340
2026-07-17 12:51:51 | INFO     | trace_id=b0beb528-11e4-4676-a987-5bc958675408 - Model: deepseek-r1 | Latency: 6.14s | PromptTokens: 584 | CompletionTokens: 168
2026-07-17 12:52:40 | INFO     | trace_id=5eb4f523-2870-4bb5-8b24-9a163fb0a174 - Model: deepseek-r1 | Latency: 11.63s | PromptTokens: 125 | CompletionTokens: 363
2026-07-17 12:52:45 | INFO     | trace_id=5eb4f523-2870-4bb5-8b24-9a163fb0a174 - Model: deepseek-r1 | Latency: 5.34s | PromptTokens: 590 | CompletionTokens: 141
2026-07-17 13:09:04 | INFO     | trace_id=b4e14c22-aaf0-47ec-8b98-efa9b8d1d924 - Model: deepseek-r1 | Latency: 37.86s | PromptTokens: 656 | CompletionTokens: 1152
2026-07-17 13:10:01 | INFO     | trace_id=e9e7ea59-30f9-408a-9185-f3c8e4d766dc - Model: deepseek-r1 | Latency: 56.57s | PromptTokens: 640 | CompletionTokens: 1759
2026-07-17 13:10:13 | INFO     | trace_id=e9e7ea59-30f9-408a-9185-f3c8e4d766dc - Model: deepseek-r1 | Latency: 11.88s | PromptTokens: 126 | CompletionTokens: 341
2026-07-17 13:10:28 | INFO     | trace_id=b4e14c22-aaf0-47ec-8b98-efa9b8d1d924 - Model: deepseek-r1 | Latency: 14.55s | PromptTokens: 125 | CompletionTokens: 385
2026-07-17 13:10:36 | INFO     | trace_id=e9e7ea59-30f9-408a-9185-f3c8e4d766dc - Model: deepseek-r1 | Latency: 8.00s | PromptTokens: 443 | CompletionTokens: 189
2026-07-17 13:10:44 | INFO     | trace_id=b4e14c22-aaf0-47ec-8b98-efa9b8d1d924 - Model: deepseek-r1 | Latency: 7.82s | PromptTokens: 476 | CompletionTokens: 167
2026-07-17 13:12:02 | INFO     | trace_id=b882fc41-b91c-40f8-b0ae-764eb7158217 - Model: deepseek-r1 | Latency: 10.06s | PromptTokens: 126 | CompletionTokens: 218
2026-07-17 13:12:13 | INFO     | trace_id=b882fc41-b91c-40f8-b0ae-764eb7158217 - Model: deepseek-r1 | Latency: 11.46s | PromptTokens: 857 | CompletionTokens: 217
2026-07-17 13:12:49 | INFO     | trace_id=bbf2d5b2-54a0-425d-a5fb-2010e8185393 - Model: deepseek-r1 | Latency: 13.05s | PromptTokens: 126 | CompletionTokens: 353
2026-07-17 13:12:56 | INFO     | trace_id=bbf2d5b2-54a0-425d-a5fb-2010e8185393 - Model: deepseek-r1 | Latency: 6.37s | PromptTokens: 849 | CompletionTokens: 158
2026-07-17 13:13:41 | INFO     | trace_id=3c7d9e88-838b-4035-ab6f-28f53e29b273 - Model: deepseek-r1 | Latency: 16.39s | PromptTokens: 126 | CompletionTokens: 446
2026-07-17 13:13:49 | INFO     | trace_id=3c7d9e88-838b-4035-ab6f-28f53e29b273 - Model: deepseek-r1 | Latency: 7.81s | PromptTokens: 955 | CompletionTokens: 185
2026-07-17 13:14:46 | INFO     | trace_id=b532958b-585b-4e03-a93f-5fbc1cb3db4f - Model: deepseek-r1 | Latency: 13.41s | PromptTokens: 126 | CompletionTokens: 445
2026-07-17 13:14:53 | INFO     | trace_id=b532958b-585b-4e03-a93f-5fbc1cb3db4f - Model: deepseek-r1 | Latency: 6.70s | PromptTokens: 640 | CompletionTokens: 173
2026-07-17 13:15:31 | INFO     | trace_id=a87764bd-e22e-4a21-bf82-e86ec9fbd928 - Model: deepseek-r1 | Latency: 13.74s | PromptTokens: 126 | CompletionTokens: 369
2026-07-17 13:15:39 | INFO     | trace_id=a87764bd-e22e-4a21-bf82-e86ec9fbd928 - Model: deepseek-r1 | Latency: 8.47s | PromptTokens: 680 | CompletionTokens: 156
2026-07-17 13:16:13 | INFO     | trace_id=833fb00c-f64e-4bc3-89df-1cd4a43b87f2 - Model: deepseek-r1 | Latency: 14.10s | PromptTokens: 126 | CompletionTokens: 336
2026-07-17 13:16:38 | INFO     | trace_id=833fb00c-f64e-4bc3-89df-1cd4a43b87f2 - Model: deepseek-r1 | Latency: 25.24s | PromptTokens: 674 | CompletionTokens: 586
2026-07-17 13:17:13 | INFO     | trace_id=af914c0d-0a67-48e8-91f6-563d77240939 - Model: deepseek-r1 | Latency: 12.56s | PromptTokens: 126 | CompletionTokens: 290
2026-07-17 13:17:19 | INFO     | trace_id=af914c0d-0a67-48e8-91f6-563d77240939 - Model: deepseek-r1 | Latency: 5.56s | PromptTokens: 669 | CompletionTokens: 145
2026-07-17 13:17:37 | INFO     | trace_id=31d5ea67-cd78-44d6-a54f-223547bda13a - Model: deepseek-r1 | Latency: 12.95s | PromptTokens: 126 | CompletionTokens: 344
2026-07-17 13:17:52 | INFO     | trace_id=31d5ea67-cd78-44d6-a54f-223547bda13a - Model: deepseek-r1 | Latency: 14.41s | PromptTokens: 628 | CompletionTokens: 420
